idprodotti_scelti,confezionati,freschi,frigo,elettrodomestici,username,email,totale,last_access
1,Riso,Cetrioli,Ricotta,Lavatrice,Mario,email mancante,356,1970-01-01 00:00:00
2,Pasta,Lattuga,Provola,Ferro da Stiro,username mancante,email mancante,40,1970-01-01 00:00:00
3,Pasta,Cetrioli,Ricotta,Ferro da Stiro,username mancante,email mancante,41,1970-01-01 00:00:00
4,Pasta,Cetrioli,Provola,Asciuga Capelli,username mancante,email mancante,54,1970-01-01 00:00:00
5,Riso,Lattuga,Ricotta,Asciuga Capelli,username mancante,email mancante,55,1970-01-01 00:00:00
6,Pasta,Carne,Ricotta,Ferro da Stiro,username mancante,email mancante,48,1970-01-01 00:00:00
7,Pasta,Carne,Provola,Ferro da Stiro,username mancante,email mancante,47,1970-01-01 00:00:00
8,Pasta,Lattuga,Ricotta,Ferro da Stiro,username mancante,email mancante,41,1970-01-01 00:00:00
9,Pasta,Cetrioli,Provola,Lavatrice,username mancante,email mancante,355,1970-01-01 00:00:00
10,Pasta,Lattuga,Provola,Asciuga Capelli,username mancante,email mancante,54,1970-01-01 00:00:00
11,Pasta,Lattuga,Ricotta,Asciuga Capelli,username mancante,email mancante,55,1970-01-01 00:00:00
12,Pasta,Cetrioli,Ricotta,Ferro da Stiro,username mancante,email mancante,41,1970-01-01 00:00:00
13,Riso,Lattuga,Provola,Lavatrice,username mancante,email mancante,355,1970-01-01 00:00:00
14,Pasta,Carne,Provola,Ferro da Stiro,username mancante,email mancante,47,1970-01-01 00:00:00
15,Pane in cassetta,Lattuga,Ricotta,Ferro da Stiro,username mancante,email mancante,41,1970-01-01 00:00:00
16,Pasta,Lattuga,Provola,Ferro da Stiro,EEE,eee@gmail.com,40,1970-01-01 00:00:00
17,Pasta,Cetrioli,Provola,Ferro da Stiro,username mancante,email mancante,40,1970-01-01 00:00:00
18,Pasta,Lattuga,Ricotta,Ferro da Stiro,abc,abc@gmail.com,41,1970-01-01 00:00:00
19,Riso,Lattuga,Ricotta,elettrodomestico mancante,ttt,ttt@gmail.com,6,1970-01-01 00:00:00
20,Pasta,Cetrioli,Provola,Asciuga Capelli,uuu,uuu@gmail.com,54,1970-01-01 00:00:00
21,Pasta,Cetrioli,Latte,Ferro da Stiro,vvv,vvv@gmail.com,38,1970-01-01 00:00:00
22,Pasta,Carne,Ricotta,elettrodomestico mancante,AlessioL,alessiol@gmail.com,13,1970-01-01 00:00:00
23,Riso,Lattuga,Latte,Asciuga Capelli,AlessioL,alessiol@gmail.com,52,1970-01-01 00:00:00
24,Pasta,Lattuga,Latte,Ferro da Stiro,test,test@gmail.com,38,1970-01-01 00:00:00
25,Riso,Lattuga,Latte,Ferro da Stiro,test,test@gmail.com,38,1970-01-01 00:00:00
26,Pasta,Cetrioli,Ricotta,Ferro da Stiro,test,test@gmail.com,41,1970-01-01 00:00:00
27,Pasta,Carne,Ricotta,Asciuga Capelli,test,test@gmail.com,62,2023-07-26 11:25:13
28,Pasta,Lattuga,Ricotta,elettrodomestico mancante,test,test@gmail.com,6,2023-07-26 12:43:15
29,Pane in cassetta,Cetrioli,Latte,elettrodomestico mancante,test,test@gmail.com,3,2023-07-26 12:43:28
30,Riso,Carne,Provola,Ferro da Stiro,test,test@gmail.com,47,2023-07-26 12:43:40
31,Pane in cassetta,Cetrioli,Latte,Lavatrice,test,test@gmail.com,353,2023-07-26 12:43:53
32,Riso,Lattuga,Ricotta,Ferro da Stiro,test,test@gmail.com,41,2023-07-26 12:53:04
